Training type,Source,Resource,Link,Research Phase,Broad skill,Skill bite,Red skill,Tool,Status,Notes
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Explore data,Understand key features of census data ,Microdata,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Explore data,Understand key features of census data ,Flow data,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Explore data,Understand key features of census data ,Boundary data,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Explore data,Understand key features of census data ,Aggregate data,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Explore data,Understand key features of census data,Flow data,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Explore data,Understand key features of census data,Boundary data,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Explore data,Understand key features of census data,Aggregate data,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Explore data,Understand key features of census data,Microdata,,,,
Census,Video, Evidence and impact using census data ,https://www.youtube.com/watch?v=PzplpvdzLws&ab_channel=UKDATASERVICE,Explore data,Understand potential uses of census data,,,,,
Census,Video,Journey to work data in the UK  ,https://www.youtube.com/watch?v=qJ9U0DTnZoY&ab_channel=UKDATASERVICE,Explore data,Awareness of the different types of census data                       ,Microdata,,,,
Census,Website,Census agencies websites ,https://ukdataservice.ac.uk/learning-hub/census/about-uk-censuses/census-agencies-websites/,Explore data,Understand key features of census data,Census agencies,,,,
Census,Website,The value of census statistics_x000D_,https://dam.ukdataservice.ac.uk/media/455474/cope.pdf,Explore data,Understand potential uses of census data,,,,,
Census,Website,The value of census statistics_x000D_,https://dam.ukdataservice.ac.uk/media/455474/cope.pdf,Explore data,Understand key features of census data,Basics,,,,
Census,Website,Census 2021/2022 could be the most important Census in decades ,https://ukdataservice.ac.uk/2021/03/12/census-2021-2022-could-be-the-most-important-census-in-decades/,Explore data,Understand potential uses of census data,,,,,
Census,PDF,2021 Census what is planned and how will you use it?,https://ukdataservice.ac.uk//app/uploads/censusupdate6mar20.pdf,Explore data,Understand potential uses of census data,,,,,
Census,PDF,2021 Census what is planned and how will you use it?,https://ukdataservice.ac.uk//app/uploads/censusupdate6mar20.pdf,Explore data,Understand potential uses of census data,Aggregate data,,,,
Census,PDF,2021 Census what is planned and how will you use it? ,https://ukdataservice.ac.uk//app/uploads/censusupdate6mar20.pdf,Explore data,Understand potential uses of census data,Microdata,,,,
Census,PDF,2021 Census what is planned and how will you use it? ,https://ukdataservice.ac.uk//app/uploads/censusupdate6mar20.pdf,Explore data,Understand potential uses of census data,Flow data,,,,
Census,PDF,2021 Census what is planned and how will you use it? ,https://ukdataservice.ac.uk//app/uploads/censusupdate6mar20.pdf,Explore data,Understand potential uses of census data,Boundary data,,,,
Census,Event ,A showcase of student research using the ONS Longitudinal Study and Census microdata ,https://ukdataservice.ac.uk/events/a-showcase-of-student-research-using-the-ons-longitudinal-study-and-census-microdata/,Explore data,Understand potential uses of census data,Microdata,,,,
Census,Event ,2021 Census what to expect from the UK Data Service ,https://ukdataservice.ac.uk/events/webinar-2021-census-what-to-expect-from-the-uk-data-service/,Explore data,Understand potential uses of census data,,,,Edit needed,
Census,Event ,2021 Census what to expect from the UK Data Service ,https://ukdataservice.ac.uk/events/webinar-2021-census-what-to-expect-from-the-uk-data-service/,Explore data,Understand potential uses of census data,Aggregate data,,,,
Census,Event ,2021 Census what to expect from the UK Data Service ,https://ukdataservice.ac.uk/events/webinar-2021-census-what-to-expect-from-the-uk-data-service/,Explore data,Understand potential uses of census data,Microdata,,,,
Census,Event ,2021 Census what to expect from the UK Data Service ,https://ukdataservice.ac.uk/events/webinar-2021-census-what-to-expect-from-the-uk-data-service/,Explore data,Understand potential uses of census data,Flow data,,,,
Census,Event ,2021 Census what to expect from the UK Data Service ,https://ukdataservice.ac.uk/events/webinar-2021-census-what-to-expect-from-the-uk-data-service/,Explore data,Understand potential uses of census data,Boundary data,,,,
Census,PDF,UK Data Service Introduction to Census ,https://ukdataservice.ac.uk//app/uploads/censuswebinar17nov2016.pdf,Explore data,Understand potential uses of census data ,,,,,
Census,PDF,UK Data Service Introduction to Census ,https://ukdataservice.ac.uk//app/uploads/censuswebinar17nov2016.pdf,Explore data,Understand key features of census data,Basics,,,,
Census,PDF,Comparing 2011 Census data with data from past censuses,https://dam.ukdataservice.ac.uk/media/211697/5_compare_censuses.pdf,Explore data,Awareness of the ways in which we can compare census data ,Boundary data,,,,
Census,Impact blog,Using Linked Census Survey Data to Monitor Survey Non-response ,https://ukdataservice.ac.uk/case-study/using-linked-census-survey-data-to-monitor-survey-non-response/,Explore data,Understand potential uses of census data,,,,,
Census,Video,Introduction to census,"https://www.youtube.com/watch?v=_PbKScK6qfo, https://ukdataservice.ac.uk//app/uploads/censuswebinar17nov2016.pdf",Get data,Downloading UKDS data ,How to find dataset,,,,
